protocol,metric,n,mean,std,ci_low,ci_high
leach,fnd_round,1,2.0,0.0,2.0,2.0
leach,hnd_round,1,12.0,0.0,12.0,12.0
leach,final_alive_nodes,1,18.0,0.0,18.0,18.0
leach,total_energy_consumed_j,1,36.60441307842788,0.0,36.60441307842788,36.60441307842788
leach,packet_delivery_ratio,1,0.943661971830986,0.0,0.943661971830986,0.943661971830986
leach,mean_latency_ms,1,0.6008996255573643,0.0,0.6008996255573643,0.6008996255573643
leach,mean_hops,1,1.0,0.0,1.0,1.0
leach,mean_routing_success,1,1.0,0.0,1.0,1.0
leach,mean_energy_fairness,1,0.8828377335815393,0.0,0.8828377335815393,0.8828377335815393
leach,delivered_bits_per_joule,1,21964.56471730241,0.0,21964.56471730241,21964.56471730241
leach_c,fnd_round,1,3.0,0.0,3.0,3.0
leach_c,hnd_round,1,12.0,0.0,12.0,12.0
leach_c,final_alive_nodes,1,21.0,0.0,21.0,21.0
leach_c,total_energy_consumed_j,1,26.2563396719464,0.0,26.2563396719464,26.2563396719464
leach_c,packet_delivery_ratio,1,0.957345971563981,0.0,0.957345971563981,0.957345971563981
leach_c,mean_latency_ms,1,0.6006516712132465,0.0,0.6006516712132465,0.6006516712132465
leach_c,mean_hops,1,1.0,0.0,1.0,1.0
leach_c,mean_routing_success,1,1.0,0.0,1.0,1.0
leach_c,mean_energy_fairness,1,0.9473948033721816,0.0,0.9473948033721816,0.9473948033721816
leach_c,delivered_bits_per_joule,1,30773.520227699828,0.0,30773.520227699828,30773.520227699828
proposed,fnd_round,1,5.0,0.0,5.0,5.0
proposed,hnd_round,1,12.0,0.0,12.0,12.0
proposed,final_alive_nodes,1,21.0,0.0,21.0,21.0
proposed,total_energy_consumed_j,1,25.17009287801698,0.0,25.17009287801698,25.17009287801698
proposed,packet_delivery_ratio,1,0.8705357142857143,0.0,0.8705357142857143,0.8705357142857143
proposed,mean_latency_ms,1,0.4000597490499279,0.0,0.4000597490499279,0.4000597490499279
proposed,mean_hops,1,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666
proposed,mean_routing_success,1,0.0,0.0,0.0,0.0
proposed,mean_energy_fairness,1,0.9426860429941236,0.0,0.9426860429941236,0.9426860429941236
proposed,delivered_bits_per_joule,1,30989.15859310298,0.0,30989.15859310298,30989.15859310298
