protocol,seed,round,iteration,best_fitness
proposed,7,0,0,0.5541524773731686
proposed,7,0,1,0.552099126443863
proposed,7,0,2,0.5478057282429984
proposed,7,0,3,0.5478057282429984
proposed,7,0,4,0.5454365668032863
proposed,7,0,5,0.542807300119622
proposed,7,0,6,0.5349081508462956
proposed,7,0,7,0.5294119534283078
proposed,7,0,8,0.514846528036817
proposed,7,15,0,0.5201188275624941
proposed,7,15,1,0.5169263429576164
proposed,7,15,2,0.5169263429576164
proposed,7,15,3,0.5127922546411625
proposed,7,15,4,0.5068585932202747
proposed,7,15,5,0.5009542383485104
proposed,7,15,6,0.4942583618918564
proposed,7,15,7,0.49189372104657536
proposed,7,15,8,0.49074501838306717
proposed,7,30,0,0.6768469085337571
proposed,7,30,1,0.6630362599371173
proposed,7,30,2,0.5535406436109135
proposed,7,30,3,0.5372512298257958
proposed,7,30,4,0.5345128089380092
proposed,7,30,5,0.5335264049520918
proposed,7,30,6,0.5334317502001106
proposed,7,30,7,0.5334317502001106
proposed,7,30,8,0.5334317502001106
proposed,7,45,0,0.5087313101733794
proposed,7,45,1,0.5087313101733794
proposed,7,45,2,0.49462211452512184
proposed,7,45,3,0.49402840236243717
proposed,7,45,4,0.48974777670275405
proposed,7,45,5,0.4883248111737374
proposed,7,45,6,0.48671076295485516
proposed,7,45,7,0.48520781559350773
proposed,7,45,8,0.48507082976929733
