protocol,seed,round,alive_nodes,total_residual_energy_j,mean_residual_energy_j,packets_generated,packets_delivered,packet_delivery_ratio,mean_latency_ms,mean_hops,routing_success,mean_route_reliability,energy_fairness,temperature_c,mean_traffic,cluster_heads
leach,7,0,60,110.85460700832787,1.8475767834721313,47,47,1.0,0.6014914545898861,1.0,1.0,1.0,0.9791346229273913,25.0,0.6955215570838345,3
leach,7,1,58,102.35248952791562,1.7058748254652605,43,41,0.9534883720930233,0.6014914545898861,1.0,1.0,1.0,0.9625277381605745,26.50399880277165,0.6959764628974334,3
leach,7,2,57,96.88858105072991,1.6148096841788318,35,34,0.9714285714285714,0.6014914545898861,1.0,1.0,1.0,0.9333618058715779,27.984278645978257,0.6374508763391753,3
leach,7,3,55,93.10594595162422,1.5517657658604036,36,34,0.9444444444444444,0.6014914545898861,1.0,1.0,1.0,0.9422993780987925,29.417494632216133,0.6579225215068395,3
leach,7,4,54,88.52967803845017,1.4754946339741695,38,37,0.9736842105263158,0.6014914545898861,1.0,1.0,1.0,0.9268281709285461,30.781044089220586,0.6636634371896782,3
leach,7,5,51,85.30060834089376,1.4216768056815627,34,31,0.9117647058823529,0.6014914545898861,1.0,0.6666666666666666,1.0,0.9493832630168456,32.05342302750968,0.6589715306577703,3
leach,7,6,50,82.18670581123303,1.3697784301872171,34,32,0.9411764705882353,0.6013847221903101,1.0,1.0,1.0,0.94579033431733,33.21456527114427,0.6994249633051871,3
leach,7,7,50,79.40460665293386,1.3234101108822311,33,32,0.9696969696969697,0.6013847221903101,1.0,1.0,1.0,0.9272580187356897,34.24615891330947,0.7000899194116673,3
leach,7,8,48,76.0004021855765,1.2666733697596084,36,32,0.8888888888888888,0.6013847221903101,1.0,1.0,1.0,0.9269303344100508,35.13193510602418,0.7075629689541004,3
leach,7,9,48,73.97212864585397,1.232868810764233,36,34,0.9444444444444444,0.6013847221903101,1.0,1.0,1.0,0.9118765832079114,35.85792462959223,0.6845352160143509,3
