protocol,metric,n,mean,std,ci_low,ci_high
leach,fnd_round,1,1.0,0.0,1.0,1.0
leach,hnd_round,1,16.0,0.0,16.0,16.0
leach,final_alive_nodes,1,17.0,0.0,17.0,17.0
leach,total_energy_consumed_j,1,102.70983737333296,0.0,102.70983737333296,102.70983737333296
leach,packet_delivery_ratio,1,0.8601735776277725,0.0,0.8601735776277725,0.8601735776277725
leach,mean_latency_ms,1,0.5648714424757447,0.0,0.5648714424757447,0.5648714424757447
leach,mean_hops,1,0.94,0.0,0.94,0.94
leach,mean_routing_success,1,0.9033333333333332,0.0,0.9033333333333332,0.9033333333333332
leach,mean_energy_fairness,1,0.8717058030141501,0.0,0.8717058030141501,0.8717058030141501
leach,delivered_bits_per_joule,1,34738.63936743391,0.0,34738.63936743391,34738.63936743391
leach_c,fnd_round,1,9.0,0.0,9.0,9.0
leach_c,hnd_round,1,50.0,0.0,50.0,50.0
leach_c,final_alive_nodes,1,41.0,0.0,41.0,41.0
leach_c,total_energy_consumed_j,1,74.48954523082259,0.0,74.48954523082259,74.48954523082259
leach_c,packet_delivery_ratio,1,0.9686147186147186,0.0,0.9686147186147186,0.9686147186147186
leach_c,mean_latency_ms,1,0.6010881823476709,0.0,0.6010881823476709,0.6010881823476709
leach_c,mean_hops,1,1.0,0.0,1.0,1.0
leach_c,mean_routing_success,1,0.9866666666666666,0.0,0.9866666666666666,0.9866666666666666
leach_c,mean_energy_fairness,1,0.9126534568914666,0.0,0.9126534568914666,0.9126534568914666
leach_c,delivered_bits_per_joule,1,96120.87142985142,0.0,96120.87142985142,96120.87142985142
proposed,fnd_round,1,9.0,0.0,9.0,9.0
proposed,hnd_round,1,50.0,0.0,50.0,50.0
proposed,final_alive_nodes,1,50.0,0.0,50.0,50.0
proposed,total_energy_consumed_j,1,43.979261999598606,0.0,43.979261999598606,43.979261999598606
proposed,packet_delivery_ratio,1,0.9155672823218998,0.0,0.9155672823218998,0.9155672823218998
proposed,mean_latency_ms,1,0.8402544726994722,0.0,0.8402544726994722,0.8402544726994722
proposed,mean_hops,1,1.4000000000000004,0.0,1.4000000000000004,1.4000000000000004
proposed,mean_routing_success,1,0.0,0.0,0.0,0.0
proposed,mean_energy_fairness,1,0.9461444920278314,0.0,0.9461444920278314,0.9461444920278314
proposed,delivered_bits_per_joule,1,157801.64751430665,0.0,157801.64751430665,157801.64751430665
